Course #,Category,Course Title,What This Course Is About,What You Can Do After Completing This Course,Core Concept or Project Built,5 Key Topics Covered,Duration,Level
401,Design and Product,UI Design Fundamentals: Making Things Look Professional,Learn the core principles of visual design that make any interface look professional and trustworthy,You will be able to apply spacing alignment hierarchy colour and typography to make any UI look significantly more professional,"Visual hierarchy, whitespace, alignment grid, typography scale, colour theory, consistency",Redesign an ugly web page by applying the 5 design fundamentals and document every change made,3 hours,Beginner
402,Design and Product,Figma From Zero: Designing Interfaces,Learn Figma the industry-standard design tool used by professional product designers worldwide,You will be able to design a complete mobile or web application in Figma with components styles and prototyping,"Figma workspace, frames and layers, auto layout, components and variants, styles, prototyping",Design a complete mobile app UI in Figma with a consistent design system and interactive prototype,8 hours,Beginner
403,Design and Product,Canva Mastery: Professional Designs for Non-Designers,Learn Canva to create professional marketing materials social media posts and presentations,You will be able to produce professional quality design outputs for any business purpose using Canva,"Canva workspace, templates, brand kit, social media templates, presentations, printing specs",Create a complete brand kit including logo social media templates flyers and a presentation deck,4 hours,Beginner
404,Design and Product,User Experience Design: Designing for How People Think,Learn UX design the practice of making products that people find intuitive and enjoyable to use,You will be able to conduct user research create user flows and design interfaces that real users can navigate without help,"User research, personas, user journey maps, information architecture, wireframing, usability testing",Conduct user research wireframe and test a design for a Nigerian USSD banking app replacement,7 hours,Intermediate
405,Design and Product,Mobile UI Patterns: Designing for Small Screens,Learn the specific patterns conventions and constraints of designing for mobile phones,You will be able to design mobile interfaces that follow platform conventions and work well with thumb navigation,"iOS vs Android guidelines, mobile navigation patterns, touch targets, gestures, forms on mobile",Design a complete mobile app UI following platform guidelines for both iOS and Android,5 hours,Intermediate
406,Design and Product,Typography: Making Text Beautiful and Readable,Learn typography the craft of arranging type that most designers skip but that makes everything better,You will be able to choose appropriate typefaces set proper sizes and line heights and pair fonts effectively,"Type anatomy, classification, hierarchy, pairing, web fonts, line height and measure, readability",Restyle 3 different real websites using only typography improvements,3 hours,Beginner
407,Design and Product,Colour Theory for Digital Design,Learn how colour works and how to build colour systems that look professional and communicate clearly,You will be able to build a complete colour palette for any brand and apply it consistently in any design,"Colour wheel, harmony, contrast ratios, accessible colour, brand colour psychology, building palettes",Design 3 brand colour systems for different industry types and test them for accessibility compliance,3 hours,Beginner
408,Design and Product,Design Systems: Building Consistency at Scale,Learn how to build a design system that ensures consistency across all products and speeds up future design work,You will be able to build a complete design system with components tokens documentation and usage guidelines,"Design tokens, component library, documentation, Figma component architecture, system governance",Build a complete design system for a fictional Nigerian fintech with all core components,8 hours,Intermediate
409,Design and Product,Accessibility in Design: Designing for Everyone,Learn how to design interfaces that work for people with visual hearing motor and cognitive disabilities,You will be able to design and audit any interface for WCAG 2.1 AA accessibility compliance,"WCAG principles, colour contrast, focus states, keyboard navigation, screen reader considerations",Audit a real Nigerian app for accessibility issues and redesign 5 screens to be fully accessible,4 hours,Intermediate
410,Design and Product,Logo Design With Figma: Building Brand Identity,Learn how to design professional logos and brand identities from scratch,You will be able to design a complete brand identity including primary logo mark and wordmark usage rules,"Logo types, vector design in Figma, symbolism and meaning, colour in logos, brand guidelines",Design 3 complete logos for different fictional businesses and present each with rationale,5 hours,Intermediate
411,Design and Product,Usability Testing: Watching Real Users Break Your Product,Learn how to run usability tests that reveal how real users actually use your product,You will be able to design conduct and analyse a usability test and produce actionable design recommendations,"Test planning, participant recruitment, task design, moderation, affinity mapping, recommendation reports",Conduct a 5-participant usability test on a real app and produce a findings and recommendations report,4 hours,Intermediate
412,Design and Product,Prototyping: From Sketch to Clickable Demo,Learn how to build interactive prototypes that demonstrate how a product works without writing code,You will be able to build a fully interactive high-fidelity prototype in Figma that can be tested with real users,"Fidelity levels, Figma prototyping connections, transitions, overlay and component states, testing prototypes",Build a fully interactive prototype of a 10-screen app that stakeholders can test on a phone,4 hours,Intermediate
413,Design and Product,Design for WhatsApp and Social Media,Learn how to design engaging visual content specifically for WhatsApp Facebook and Instagram,You will be able to create professional social media graphics educational carousels and WhatsApp flyers,"Platform size requirements, carousel design, text-to-image ratio, brand voice in design, batch production",Design a month of social media content for Silabs Academy in a consistent visual style,5 hours,Beginner
414,Design and Product,Product Management: Building the Right Thing,Learn product management the practice of deciding what to build and why in a technology company,You will be able to write user stories define acceptance criteria prioritise a backlog and manage a product roadmap,"PM vs project manager, user stories, jobs to be done, prioritisation frameworks RICE and ICE, roadmap ownership",Write a complete product requirements document for a feature of a real Nigerian app,5 hours,Intermediate
415,Design and Product,Product Analytics: Measuring Whether Your Product Works,Learn how to instrument a product to measure user behaviour and make data-driven product decisions,You will be able to set up product analytics define key metrics and analyse user behaviour to improve a product,"Mixpanel or Amplitude, event tracking, funnel analysis, retention, user segmentation, A/B test design",Instrument a web application with full event tracking and analyse a simulated user funnel,5 hours,Intermediate
416,Design and Product,Information Architecture: Organising Content So People Find It,Learn how to structure content and navigation so that users always know where they are and how to get what they need,You will be able to conduct a card sort design a site map and create a navigation structure for any digital product,"Card sorting, tree testing, site maps, navigation patterns, labelling and taxonomy",Conduct a card sort and redesign the navigation of a poorly organised Nigerian government website,4 hours,Intermediate
417,Design and Product,Design Critique: Giving and Receiving Design Feedback,Learn how to give and receive design feedback that improves work without damaging relationships,You will be able to conduct structured design critiques and respond to feedback in ways that improve outcomes,"Critique vs criticism, structured feedback frameworks, separating work from worth, feedback hierarchies",Run a structured design critique session for 3 different design pieces and document outcomes,2 hours,Foundation
418,Design and Product,Designing for Low-Literacy and First-Time Digital Users,Learn how to design products that work for Nigerians using a smartphone for the first time or with low literacy,You will be able to apply inclusive design principles that serve the broadest possible Nigerian audience,"Icons vs text, visual instruction patterns, onboarding for first-time users, testing with real users",Redesign a digital government form for use by low-literacy smartphone users in a rural area,4 hours,Advanced
419,Design and Product,Motion Design: Making Interfaces Feel Alive,Learn how to add meaningful motion and animation to digital interfaces,You will be able to design micro-interactions and screen transitions that communicate clearly and delight users,"Why motion matters, transition types, timing and easing, Figma Smart Animate, meaningful vs decorative motion",Add meaningful motion to a static mobile app design using Figma Smart Animate,3 hours,Intermediate
420,Design and Product,Building a Design Portfolio,Learn how to build a design portfolio that lands jobs and clients in a competitive market,You will have a complete online design portfolio with 5 case studies that demonstrate your full design process,"Case study structure, portfolio platforms, writing about design, presenting process not just outcomes",Build a complete Behance or personal site portfolio with 5 documented design case studies,5 hours,Intermediate
421,Design and Product,Competitive Analysis: Learning From Existing Products,Learn how to systematically analyse competitor products to find opportunities for your own,You will be able to conduct a structured competitive analysis and identify clear differentiation opportunities,"Competitive analysis framework, feature comparison, UX heuristic evaluation, positioning map",Conduct a complete competitive analysis of 5 Nigerian fintech apps and identify 3 opportunities,4 hours,Foundation
422,Design and Product,Error States and Edge Cases: Designing for Failure,Learn how to design the parts of products that most designers ignore — errors empty states and edge cases,You will be able to design complete error states empty states and edge cases for any application,"Error message writing, empty state design, offline states, loading states, error recovery flows",Design all error and edge case states for a 10-screen app that currently handles none of them,3 hours,Intermediate
423,Design and Product,Designing for Dark Mode,Learn how to design interfaces that work beautifully in both light and dark modes,You will be able to extend any design system to support dark mode with proper colour and contrast handling,"Dark mode principles, colour semantics, opacity vs colour, component adaptation, Figma dark mode setup",Extend a light mode design system to a complete dark mode variant,3 hours,Intermediate
424,Design and Product,User Research: Finding What Users Really Need,Learn user research methods to discover what users need before spending months building the wrong thing,You will be able to conduct contextual interviews surveys and observational research and synthesise findings,"Research methods, interview techniques, survey design, affinity diagrams, insight synthesis",Conduct and synthesise user research for a real or practice design problem and present findings,5 hours,Intermediate
425,Design and Product,No-Code Tools: Building Real Products Without Coding,Learn no-code tools that let you build functional web apps mobile apps and automations without writing code,You will be able to build a functioning web application using Bubble Webflow or Glide without any code,"Bubble for web apps, Glide for mobile, Webflow for websites, Zapier for automation, when to use no-code",Build a complete functional web app for a small business using a no-code platform,6 hours,Beginner
426,Design and Product,Designing a Mobile App for Rural Nigerian Users,Learn how to design mobile experiences that work for users with limited connectivity older devices and low digital literacy,You will be able to conduct research with and design for rural Nigerian users outside of major urban centres,"Offline-first design, data minimisation in UI, older device constraints, local language consideration",Design a complete mobile crop monitoring app for smallholder farmers in rural Nigeria,5 hours,Advanced
427,Design and Product,Growth Design: Designing for Acquisition and Retention,Learn how to design product experiences that drive user acquisition and keep users coming back,You will be able to apply growth design principles to any product to improve conversion and retention metrics,"Onboarding design, activation triggers, habit loops, notification design, viral mechanics, churn reduction",Redesign the onboarding flow of a real app to improve activation rate based on growth design principles,4 hours,Advanced
428,Design and Product,Service Design: Designing Beyond the Screen,Learn service design the practice of designing the complete user experience including offline touchpoints,You will be able to map a complete service journey and identify improvements at every online and offline touchpoint,"Service design concept, service blueprints, touchpoints, front and backstage, service design for government",Create a complete service blueprint for a Nigerian government service like passport renewal,4 hours,Advanced
429,Design and Product,Designing the AI Experience: UX for AI-Powered Products,Learn how to design user experiences for AI features that build trust and manage expectations,You will be able to design AI-powered product features that feel helpful transparent and trustworthy,"Designing for uncertainty, showing AI confidence, error and correction patterns, AI onboarding, trust building",Design the UX for 3 different AI features in a consumer application with full state coverage,4 hours,Advanced
430,Design and Product,Brand Identity Design: Building a Brand From Nothing,Learn how to build a complete brand identity for a new business from strategy through visual design,You will be able to produce a complete brand identity package including strategy logo colours typography and guidelines,"Brand strategy, naming, logo design, colour and typography system, brand voice, brand guidelines document",Build a complete brand identity for a fictional Nigerian tech startup,7 hours,Intermediate
431,Professional Skills,Technical Writing: Documenting Your Work Like a Professional,Learn how to write technical documentation that developers can actually understand and use,You will be able to write API documentation README files user guides and technical reports to a professional standard,"Documentation types, API docs with Postman, README best practices, user guide writing, technical report structure",Write complete documentation for a real project including API docs README and user guide,5 hours,Intermediate
432,Professional Skills,Presenting Technical Work to Non-Technical Stakeholders,Learn how to explain complex technical concepts to managers clients and non-technical decision makers,You will be able to deliver a compelling presentation of any technical work to a non-technical audience,"Translating technical concepts, avoiding jargon, storytelling with data, presentation structure, Q&A handling",Present a technical project to 5 non-technical people and achieve 80%+ comprehension score,3 hours,Intermediate
433,Professional Skills,Microsoft Word Mastery: Documents That Look Professional,Learn how to use Microsoft Word properly for professional documents with consistent formatting,You will be able to create any professional document in Word with consistent styles automatic TOC and proper formatting,"Styles and themes, headings and TOC, page layout, tables, track changes, mail merge",Create a 20-page professional report using Word styles automatic table of contents and consistent formatting,3 hours,Beginner
434,Professional Skills,PowerPoint Mastery: Presentations That Communicate,Learn how to use PowerPoint to create presentations that communicate clearly and look professional,You will be able to build any professional presentation with consistent design clear messaging and good data visualisation,"Slide masters and layouts, design principles for slides, data visualisation in PPT, animation used correctly",Build a complete 15-slide investor pitch deck for a real or fictional company,4 hours,Beginner
435,Professional Skills,Professional Email Writing,Learn how to write emails that are clear professional and get the response you need,You will be able to write any professional email from client proposals to formal complaints to government agencies,"Email structure, subject line optimisation, tone calibration, call to action, handling difficult emails",Write 10 different professional emails for different situations and evaluate their effectiveness,2 hours,Beginner
436,Professional Skills,Time Management for Tech Professionals,Learn time management systems specifically for people who do creative and technical work,You will be able to manage your time so that deep technical work gets done without losing track of communications and admin,"Deep work concept, time blocking, task prioritisation, dealing with interruptions, energy management",Design and implement a time management system for a week and measure output vs previous week,2 hours,Foundation
437,Professional Skills,Remote Work Skills: Thriving Without an Office,Learn how to work productively in remote and hybrid environments at professional standards,You will be able to maintain full professional output quality and communication in a fully remote setting,"Async communication, documentation culture, visibility without proximity, remote meeting facilitation, home office setup",Set up a complete remote work system and complete a work simulation at professional standard,2 hours,Foundation
438,Professional Skills,Keyboard Shortcuts and Productivity: Saving 2 Hours Every Day,Learn keyboard shortcuts and productivity techniques across Windows Linux VSCode and common web tools,You will be able to complete common computing tasks at least 3x faster using keyboard shortcuts and workflow improvements,"Windows and Linux shortcuts, VSCode shortcuts, browser DevTools shortcuts, command line productivity",Complete 50 computing tasks using only keyboard shortcuts with no mouse usage,2 hours,Beginner
439,Professional Skills,Problem Solving: Thinking Through Hard Technical Problems,Learn a systematic approach to solving complex technical problems that every senior developer uses,You will be able to approach any technical problem systematically decompose it into parts and find a solution reliably,"Problem decomposition, first principles thinking, rubber duck debugging, research strategies, asking for help well",Work through 5 hard technical problems using the systematic approach and document your process,3 hours,Foundation
440,Professional Skills,Nigerian English for Global Tech Communication,Learn how to communicate in the international tech world where Nigerian English patterns can cause misunderstanding,You will be able to write and speak in a way that is clear to international colleagues while remaining authentically yourself,"Common communication gaps, clear writing principles, international meeting participation, documentation writing",Rewrite 5 Nigerian English technical communications into internationally clear versions,2 hours,Foundation
441,Professional Skills,Building a GitHub Profile That Gets You Hired,Learn how to build a GitHub profile that serves as a portfolio and attracts employers and contract opportunities,You will have a GitHub profile with at least 5 projects that demonstrates your skills clearly to any recruiter,"Profile README, project READMEs, contributing to open source, pinned repositories, contribution graph",Build a complete professional GitHub profile and publish 5 projects with full documentation,4 hours,Beginner
442,Professional Skills,CV and Resume Writing for Tech Roles,Learn how to write a tech CV that passes ATS screening and impresses hiring managers,You will be able to write a CV that accurately represents your skills and gets called for interviews,"ATS optimisation, quantifying achievements, skills section for tech, project descriptions, format and length",Write a complete tech CV tailored to a specific job description,2 hours,Beginner
443,Professional Skills,Interview Preparation: Technical and Behavioural,Learn how to prepare for and perform well in technical interviews for developer and tech roles,You will be able to solve common coding interview questions and answer behavioural questions using the STAR method,"Data structures questions, algorithm practice, system design basics, STAR method, salary negotiation",Complete 20 practice interview questions and conduct 2 mock interview sessions,5 hours,Intermediate
444,Professional Skills,System Design Interviews: Designing Systems Under Pressure,Learn how to approach system design interview questions that senior developer roles require,You will be able to design any large-scale system in a 45-minute interview using a structured approach,"Requirements clarification, capacity estimation, high-level design, component deep dives, trade-off discussion",Design 5 systems from scratch including a URL shortener chat app and ride-hailing service,6 hours,Advanced
445,Professional Skills,Mentoring Junior Developers: Teaching What You Know,Learn how to mentor junior developers effectively so they grow faster and become better team members,You will be able to provide structured mentoring that accelerates a junior developer's growth meaningfully,"Mentoring vs managing, structured learning plans, code review as teaching, giving effective feedback",Design and execute a 4-week mentoring plan for a junior developer in your area,3 hours,Advanced
446,Professional Skills,Teaching Tech: Explaining Things Simply,Learn how to explain technical concepts to beginners in a way that actually helps them understand,You will be able to explain any technical concept clearly using analogies examples and structured progression,"The curse of knowledge, analogies and examples, scaffolding complexity, checking understanding",Teach 3 technical concepts to non-technical people and measure their comprehension,3 hours,Foundation
447,Professional Skills,Open Source Contribution: Giving Back and Building Skills,Learn how to find contribute to and get recognised for open source contributions,You will be able to make a genuine contribution to an open source project and navigate the collaboration process,"Finding projects, reading contribution guidelines, forking and PRs, issue selection, community norms",Make at least one accepted pull request contribution to a real open-source project,4 hours,Intermediate
448,Professional Skills,Working in a Tech Team: Collaboration and Communication,Learn how to work effectively in a software development team including code review standups and documentation,You will be able to function as a productive member of any software development team from day one,"Daily standups, code review etiquette, writing commit messages, documentation culture, conflict resolution",Participate in a simulated sprint with a team and complete all team collaboration requirements,3 hours,Foundation
449,Professional Skills,Salary Negotiation for Tech Professionals in Nigeria,Learn how to negotiate salary and contract rates confidently in the Nigerian and international tech market,You will be able to negotiate a salary that is at or above market rate using the techniques in this course,"Market research for tech salaries, anchoring strategies, handling counters, negotiating benefits, total compensation",Role-play 5 salary negotiation scenarios at different experience levels and evaluate outcomes,2 hours,Foundation
450,Professional Skills,Tech Job Search in Nigeria: Finding the Right Role,Learn how to find evaluate and apply for technology jobs in Nigeria's growing tech ecosystem,You will be able to identify the right companies apply effectively and navigate the Nigerian tech hiring process,"Nigerian tech job market, where to look, application customisation, networking for jobs, recruiter relationships",Identify and apply to 5 relevant tech roles with tailored applications,3 hours,Foundation
451,Professional Skills,Scrum Master Skills: Running Effective Agile Teams,Learn the Scrum framework and how to facilitate it effectively as a Scrum Master or team lead,You will be able to run sprint planning daily standups sprint reviews and retrospectives that improve team performance,"Scrum theory, events and artefacts, facilitating ceremonies, resolving impediments, team health",Facilitate a complete 2-week Scrum sprint for a real or practice team,4 hours,Intermediate
452,Professional Skills,Conflict Resolution in Tech Teams,Learn how to identify and resolve technical and interpersonal conflicts in software development teams,You will be able to navigate common tech team conflicts from code ownership disputes to missed deadlines,"Types of team conflict, interest-based negotiation, mediation basics, difficult conversations, blameless culture",Resolve 5 simulated tech team conflict scenarios using the frameworks from the course,3 hours,Intermediate
453,Professional Skills,Building a Study Habit: Learning Technical Skills Efficiently,Learn the science of learning applied to acquiring technical skills as an adult,You will be able to design a personal learning system that gets you from zero to competent in any technical skill faster,"Spaced repetition, active recall, deliberate practice, project-based learning, avoiding tutorial hell",Design and execute a 4-week learning sprint for a specific technical skill using the framework,2 hours,Foundation
454,Professional Skills,Postmortem Writing: Learning From Failures Professionally,Learn how to write blameless postmortems that help teams learn from incidents without finger-pointing,You will be able to write a complete incident postmortem that identifies root causes and prevents recurrence,"What a postmortem is, blameless culture, timeline reconstruction, 5 Whys analysis, action items",Write a complete postmortem for a simulated production incident,3 hours,Intermediate
455,Professional Skills,Technical Debt: Managing and Communicating the Real Cost,Learn how to identify measure and communicate technical debt to non-technical stakeholders,You will be able to quantify technical debt in a codebase and present a justified remediation plan to management,"What technical debt is, measuring it, types of debt, communicating to non-technical people, prioritisation",Audit a codebase for technical debt quantify it and write a business case for addressing it,3 hours,Intermediate
456,Professional Skills,Networking in Tech: Getting Ahead Through Relationships,Learn how to build a professional network in Nigerian and international tech that creates opportunities,You will be able to build genuine professional relationships in tech that generate job offers contracts and collaborations,"Networking mindset, Twitter X and LinkedIn strategy, tech events, informational interviews, giving before taking",Build and document 10 new meaningful professional connections in the Nigerian tech community,3 hours,Foundation
457,Professional Skills,Writing a Technical Blog: Sharing Knowledge and Building Reputation,Learn how to write technical blog posts that demonstrate your expertise and attract career opportunities,You will be able to write and publish technical posts that are shared and read by other developers,"Topic selection, writing for developers, code examples in posts, publishing on Dev.to and Hashnode, SEO",Write and publish 3 technical blog posts and achieve at least 50 reads on each,4 hours,Foundation
458,Professional Skills,Speaking at Tech Events: Building Visibility,Learn how to prepare for and deliver talks at tech meetups and conferences in Nigeria,You will be able to prepare a 20-minute technical talk and deliver it to a live audience confidently,"Talk proposal writing, presentation structure, demo preparation, handling nerves, Q&A",Prepare and deliver a complete 20-minute technical talk at a meetup or recorded session,4 hours,Intermediate
459,Professional Skills,Personal KPIs: Tracking Your Professional Growth,Learn how to set and track personal performance metrics that keep your career growing systematically,You will be able to define track and act on personal KPIs that measure your technical and professional growth,"Personal OKRs, skill tracking, income and impact metrics, quarterly review process, public accountability",Set up a personal KPI dashboard and complete a 4-week tracking cycle,2 hours,Foundation
460,Professional Skills,Professional Boundaries: Protecting Your Time and Work,Learn how to set professional boundaries with clients employers and colleagues that protect your energy and output,You will be able to decline scope creep set working hour expectations and communicate limits without damaging relationships,"Scope creep patterns, setting expectations upfront, saying no professionally, contract protections",Practice saying no to 5 different boundary-violation scenarios using the frameworks,2 hours,Foundation
461,Nigerian Context Tech,USSD Development: Building for the 2G Nigerian Phone,Learn how to build USSD applications that work on any phone without internet — reaching 90% of Nigerians,You will be able to build a complete USSD menu system that handles multi-step interactions on any mobile network,"How USSD works, USSD gateway APIs, session management, menu design, Africa's Talking USSD API",Build a USSD app for school result checking that works on any basic phone in Nigeria,5 hours,Intermediate
462,Nigerian Context Tech,M-Commerce for Nigerian SMEs: Selling on WhatsApp,Learn how to build a complete e-commerce system that operates entirely through WhatsApp,You will be able to sell products take orders handle payments and manage inventory entirely through WhatsApp,"WhatsApp Business API, catalogue, order flow, payment link integration, order management",Build a complete WhatsApp-based shop for a fashion or food business,5 hours,Beginner
463,Nigerian Context Tech,Nigerian Fintech Stack: NIP NIBSS and Banking APIs,Learn the technical infrastructure behind Nigerian payments and how to build on top of it,You will be able to explain NIP NIBSS BVN NIN and build applications that integrate Nigerian financial infrastructure,"NIBSS NIP, NIP transfer flow, BVN verification, NIN integration, interbank settlement, NEFT vs NIP",Build an integration that initiates a NIP transfer and verifies the recipient BVN,5 hours,Advanced
464,Nigerian Context Tech,Flutterwave Complete Integration Guide,Learn how to integrate every Flutterwave payment product into web and mobile applications,You will be able to process card mobile money bank transfer and USSD payments through Flutterwave in any app,"Inline checkout, standard API, webhook verification, split payments, refunds, Flutterwave for Business",Build a complete e-commerce checkout using Flutterwave with all payment methods and webhooks,5 hours,Intermediate
465,Nigerian Context Tech,Paystack Complete Integration Guide,Learn how to integrate Paystack the most developer-friendly Nigerian payment gateway,You will be able to accept payments verify transactions split revenue and handle all Paystack webhook events,"Payment initialisation and verification, subaccounts for split payments, recurring charges, refunds, testing",Build a subscription billing system using Paystack recurring charges with automatic retry,5 hours,Intermediate
466,Nigerian Context Tech,Africa's Talking: SMS Voice and USSD for African Apps,Learn the Africa's Talking API platform for building voice SMS USSD and airtime applications,You will be able to send bulk SMS receive inbound SMS build voice calls and deploy USSD apps using Africa's Talking,"API authentication, SMS sending and receiving, voice call management, USSD app deployment, airtime topup",Build a multi-channel notification system using SMS voice and USSD from Africa's Talking,5 hours,Intermediate
467,Nigerian Context Tech,Nigerian Government Systems: How E-Government Works,Understand how Nigerian government digital services are structured and how to build systems that integrate with them,You will be able to navigate Nigerian government digital systems identify integration points and build compliant applications,"FIRS TaxPro Max, CAC Online, NIMC API, eCitizen concept, government procurement systems",Map the digital touchpoints for starting and operating a business in Nigeria using only government portals,3 hours,Foundation
468,Nigerian Context Tech,GSM Business in Nigeria: Building Telco-Adjacent Applications,Learn how to build applications that leverage Nigeria's mobile network infrastructure,You will be able to build applications that use SMS bulk messaging airtime VTU and mobile data,"Nigeria MNO API landscape, MTN Glo Airtel 9mobile APIs, bulk SMS aggregators, VTU APIs, shortcodes",Build a bulk SMS notification system that sends personalised messages to 1000 contacts,4 hours,Intermediate
469,Nigerian Context Tech,BVN and NIN Verification Integration,Learn how to integrate BVN and NIN verification into any application for KYC compliance,You will be able to implement identity verification using BVN and NIN in a web or mobile application,"BVN verification APIs, NIN verification, NINAuth integration, identity match scoring, NDPC compliance",Build a KYC verification flow that verifies BVN and NIN before allowing account creation,4 hours,Intermediate
470,Nigerian Context Tech,Electricity and Utility Token Generation Integration,Learn how to integrate NERC-compliant electricity token generation into any e-commerce platform,You will be able to process electricity payments generate tokens for any DISCO and handle payment failures,"NERC token system, DISCO APIs, VTPass integration, token format, error handling and retry",Build a complete electricity vending system for all major Nigerian DISCOs,4 hours,Intermediate
471,Nigerian Context Tech,Building for Low-Connectivity Environments in Nigeria,Learn how to build web and mobile applications that remain functional in 2G and limited data environments,You will be able to design and build applications that work well in Nigeria's variable network conditions,"Progressive loading, data minimisation, offline-first with service workers, image optimisation, USSD fallback",Optimise a web application to load and function correctly on a 2G network,4 hours,Intermediate
472,Nigerian Context Tech,Nigerian English NLP: Processing Text in Nigerian Context,Learn the unique challenges of natural language processing for Nigerian English and Pidgin,You will be able to build NLP models that handle Nigerian English slang code-switching and informal text,"Nigerian English patterns, Pidgin English NLP, code-switching detection, preprocessing Nigerian text",Build a sentiment analysis model that accurately handles Nigerian Twitter text including Pidgin,5 hours,Advanced
473,Nigerian Context Tech,Digital Safety for Nigerian Users,Learn how to protect yourself and your users from the unique digital threats facing Nigerians,You will be able to educate users about and implement protections against Nigerian-specific cyber threats,"419 advance fee fraud, SIM swap attacks, account takeover tactics, safe banking practices, scam identification",Build a digital safety training curriculum for a Nigerian SME,3 hours,Foundation
474,Nigerian Context Tech,AgriTech for Nigerian Farmers: Building Digital Farm Tools,Learn how to build digital tools that address the specific problems faced by Nigerian smallholder farmers,You will be able to design and build digital products that provide real value to farming communities,"Farmer user research, offline-first requirements, voice interface considerations, market price integration",Design and prototype a digital tool that solves a specific problem for Nigerian cassava farmers,5 hours,Intermediate
475,Nigerian Context Tech,E-Commerce for Nigerian Markets: Selling Online in Nigeria,Learn how to build e-commerce systems tailored to Nigerian buyer and seller behaviour,You will be able to build an e-commerce platform that handles Nigerian payment methods delivery challenges and trust issues,"Trust signals for Nigerian buyers, COD vs prepaid, last-mile delivery integration, Gigrush Sendbox APIs",Build a complete e-commerce site with Nigerian payment methods and delivery integration,7 hours,Intermediate
476,Nigerian Context Tech,HealthTech for Nigeria: Building Healthcare Apps,Learn how to build health technology applications that serve Nigerian patients and healthcare providers,You will be able to design and build a healthcare application that complies with Nigerian health data guidelines,"Nigerian healthcare landscape, NHIA integration, patient data privacy, telemedicine regulations, HMIS systems",Build a telemedicine booking system for a Nigerian private clinic,6 hours,Intermediate
477,Nigerian Context Tech,EdTech for Nigerian Students: Building Learning Apps,Learn how to build educational technology that works within the constraints and context of Nigerian education,You will be able to design and build a learning product that Nigerian students can access and afford,"WAEC and JAMB content alignment, feature phone support, offline content, pricing for students",Build a WAEC past questions app that works offline on low-end Android devices,5 hours,Intermediate
478,Nigerian Context Tech,Building for Nigerian Languages: Localisation at Scale,Learn how to build applications that support Yoruba Hausa Igbo and other Nigerian languages properly,You will be able to implement full localisation for any application including right-to-left support and language switching,"i18n for Nigerian languages, font support, right-to-left for Arabic-influenced languages, language detection",Add Hausa and Yoruba language support to a complete web application,4 hours,Intermediate
479,Nigerian Context Tech,Nigerian Tax and Accounting Systems,Learn how to build software that handles Nigerian tax obligations including VAT WHT and PAYE correctly,You will be able to build financial software that correctly calculates and reports Nigerian taxes,"FIRS tax types, VAT and VAT exclusive pricing, WHT rates, PAYE calculation, FIRS TaxPro Max integration",Build a payroll system that automatically calculates PAYE and generates FIRS-format reports,5 hours,Intermediate
480,Nigerian Context Tech,Building for the Informal Economy: Cash and No-Bank-Account Users,Learn how to build digital products that serve the majority of Nigerians who use cash or informal finance,You will be able to design digital products that accommodate cash collection unbanked users and informal records,"Agent banking model, OPay PalmPay ecosystem, cash-in cash-out design, agent network building",Design and prototype a digital tool for an informal market trader who has no bank account,4 hours,Intermediate
481,Nigerian Context Tech,Agile in Nigerian Teams: Making It Work Here,Learn how to adapt Agile methodology to work within the cultural and operational realities of Nigerian teams,You will be able to run Agile effectively in a Nigerian context considering power dynamics communication styles and infrastructure,"Nigerian workplace culture, adapting standups and retrospectives, handling hierarchy in sprints, remote challenges",Run a 2-week adapted Agile sprint with a real or simulated Nigerian team,3 hours,Intermediate
482,Nigerian Context Tech,Government API Integrations: Working With Public Data,Learn how to use publicly available Nigerian government datasets and APIs in applications,You will be able to integrate publicly available Nigerian data sources including NBS datasets into applications,"NBS data, Central Bank data, NERC open data, geospatial Nigeria data, data licence considerations",Build a dashboard using 3 real Nigerian government datasets,4 hours,Intermediate
483,Nigerian Context Tech,Building a Dispatch and Logistics App,Learn how to build an on-demand logistics and delivery application for the Nigerian urban market,You will be able to build a basic ride or delivery matching system with real-time tracking and payment,"Driver and customer apps, geolocation, job matching, real-time tracking, payment split",Build a simplified delivery matching app with driver and customer interfaces,8 hours,Advanced
484,Nigerian Context Tech,School Management System: Built for Nigerian Schools,Learn how to build a comprehensive school management system tailored to Nigerian school operations,You will be able to build a complete school system with student records attendance results fees and reports,"Nigerian school structure, WAEC and NECO alignment, fee management, CBT module, parent portal",Build a complete school management system for a Nigerian secondary school,12 hours,Intermediate
485,Nigerian Context Tech,Church and Religious Organisation Management System,Learn how to build management software for the unique operational needs of Nigerian churches,You will be able to build a church management system with member records giving attendance and communications,"Membership management, tithe and offering tracking, attendance, event management, SMS communications",Build a complete church management system including a giving portal and WhatsApp digest,7 hours,Beginner
486,Nigerian Context Tech,Hotel and Hospitality Management for Nigerian Businesses,Learn how to build property management and booking systems for Nigerian hotels and guesthouses,You will be able to build a hotel management system with reservations payment room management and reporting,"Room management, reservation calendar, checkin checkout, Flutterwave for booking deposits, reporting",Build a complete hotel management system for a 20-room Nigerian guesthouse,7 hours,Intermediate
